Date,Open
2018-12-03,7550.0
2018-12-04,7575.0
2018-12-05,7600.0
2018-12-06,7400.0
2018-12-07,7575.0
2018-12-10,7375.0
2018-12-11,7450.0
2018-12-12,7475.0
2018-12-13,7500.0
2018-12-14,7650.0
2018-12-17,7450.0
2018-12-18,7250.0
2018-12-19,7350.0
2018-12-20,7425.0
2018-12-21,7250.0
2018-12-26,7150.0
2018-12-27,7325.0
2018-12-28,7350.0
2019-01-02,7400.0
2019-01-03,7275.0
2019-01-04,7175.0
2019-01-07,7500.0
2019-01-08,7425.0
2019-01-09,7500.0
2019-01-10,7625.0
2019-01-11,7750.0
2019-01-14,7750.0
2019-01-15,7750.0
2019-01-16,7800.0
2019-01-17,7800.0
2019-01-18,7900.0
2019-01-21,7825.0
2019-01-22,7725.0
2019-01-23,7575.0
2019-01-24,7475.0
2019-01-25,7475.0
2019-01-28,7375.0
2019-01-29,7175.0
2019-01-30,7125.0
2019-01-31,7325.0
2019-02-01,7500.0
2019-02-04,7500.0
2019-02-06,7450.0
2019-02-07,7475.0
2019-02-08,7500.0
2019-02-11,7600.0
2019-02-12,7675.0
2019-02-13,7425.0
2019-02-14,7350.0
2019-02-15,7150.0
2019-02-18,7300.0
2019-02-19,7275.0
2019-02-20,7250.0
2019-02-21,7125.0
2019-02-22,7275.0
2019-02-25,7150.0
2019-02-26,7275.0
2019-02-27,7200.0
2019-02-28,7225.0
2019-03-01,7150.0
2019-03-04,7175.0
2019-03-05,7050.0
2019-03-06,7000.0
2019-03-08,7050.0
2019-03-11,6950.0
2019-03-12,6825.0
2019-03-13,6800.0
2019-03-14,6800.0
2019-03-15,6925.0
2019-03-18,7150.0
2019-03-19,7175.0
2019-03-20,7400.0
2019-03-21,7500.0
2019-03-22,7475.0
2019-03-25,7250.0
2019-03-26,7275.0
2019-03-27,7425.0
2019-03-28,7300.0
2019-03-29,7400.0
2019-04-01,7500.0
2019-04-02,7525.0
2019-04-04,7500.0
2019-04-05,7675.0
2019-04-08,7600.0
2019-04-09,7575.0
2019-04-10,7650.0
2019-04-11,7575.0
2019-04-12,7350.0
2019-04-15,7400.0
2019-04-16,7375.0
2019-04-18,7800.0
2019-04-22,7800.0
2019-04-23,7700.0
2019-04-24,7700.0
2019-04-25,7650.0
2019-04-26,7550.0
2019-04-29,7700.0
2019-04-30,7825.0
2019-05-02,7700.0
2019-05-03,7700.0
2019-05-06,7500.0
2019-05-07,7675.0
2019-05-08,7500.0
2019-05-09,7450.0
2019-05-10,7550.0
2019-05-13,7575.0
2019-05-14,7450.0
2019-05-15,7525.0
2019-05-16,7350.0
2019-05-17,7500.0
2019-05-20,7000.0
2019-05-21,7275.0
2019-05-22,7325.0
2019-05-23,7350.0
2019-05-24,7600.0
2019-05-27,7600.0
2019-05-28,7700.0
2019-05-29,7450.0
2019-05-31,7600.0
2019-06-10,7850.0
2019-06-11,7875.0
2019-06-12,7900.0
2019-06-13,7875.0
2019-06-14,7875.0
2019-06-17,7900.0
2019-06-18,7775.0
2019-06-19,7900.0
2019-06-20,8000.0
2019-06-21,8000.0
2019-06-24,7900.0
2019-06-25,8025.0
2019-06-26,7850.0
2019-06-27,7975.0
2019-06-28,8025.0
2019-07-01,8050.0
2019-07-02,8050.0
2019-07-03,7950.0
2019-07-04,8050.0
2019-07-05,7925.0
2019-07-08,7750.0
2019-07-09,7825.0
2019-07-10,7950.0
2019-07-11,8025.0
2019-07-12,8050.0
2019-07-15,8150.0
2019-07-16,8075.0
2019-07-17,8000.0
2019-07-18,7900.0
2019-07-19,7800.0
2019-07-22,7800.0
2019-07-23,7825.0
2019-07-24,7700.0
2019-07-25,7725.0
2019-07-26,7650.0
2019-07-29,7825.0
2019-07-30,7800.0
2019-07-31,7875.0
2019-08-01,7875.0
2019-08-02,7700.0
2019-08-05,7600.0
2019-08-06,7300.0
2019-08-07,7275.0
2019-08-08,7450.0
2019-08-09,7500.0
2019-08-12,7500.0
2019-08-13,7550.0
2019-08-14,7500.0
2019-08-15,7350.0
2019-08-16,7400.0
2019-08-19,7450.0
2019-08-20,7425.0
2019-08-21,7325.0
2019-08-22,7300.0
2019-08-23,7250.0
2019-08-26,7100.0
2019-08-27,7050.0
2019-08-28,7025.0
2019-08-29,7050.0
2019-08-30,7125.0
2019-09-02,7225.0
2019-09-03,7175.0
2019-09-04,6975.0
2019-09-05,7000.0
2019-09-06,7025.0
2019-09-09,7075.0
2019-09-10,6900.0
2019-09-11,7000.0
2019-09-12,7250.0
2019-09-13,7225.0
2019-09-16,7050.0
2019-09-17,6925.0
2019-09-18,7075.0
2019-09-19,7175.0
2019-09-20,7100.0
2019-09-23,7050.0
2019-09-24,6925.0
2019-09-25,6975.0
2019-09-26,7000.0
2019-09-27,7000.0
2019-09-30,6900.0
2019-10-01,6900.0
2019-10-02,6875.0
2019-10-03,6525.0
2019-10-04,6450.0
2019-10-07,6475.0
2019-10-08,6350.0
2019-10-09,6450.0
2019-10-10,6425.0
2019-10-11,6500.0
2019-10-14,6625.0
2019-10-15,6550.0
2019-10-16,6600.0
2019-10-17,6625.0
2019-10-18,6675.0
2019-10-21,6800.0
2019-10-22,6850.0
2019-10-23,6825.0
2019-10-24,7125.0
2019-10-25,7275.0
2019-10-28,7000.0
2019-10-29,7100.0
2019-10-30,7075.0
2019-10-31,7050.0
2019-11-01,7025.0
2019-11-04,7000.0
2019-11-05,6950.0
2019-11-06,7175.0
2019-11-07,7025.0
2019-11-08,6975.0
2019-11-11,7075.0
2019-11-12,7000.0
2019-11-13,7000.0
2019-11-14,6875.0
2019-11-15,6925.0
2019-11-18,6950.0
2019-11-19,7025.0
2019-11-20,7150.0
2019-11-21,7000.0
2019-11-22,7100.0
2019-11-25,7000.0
2019-11-26,7000.0
2019-11-27,6825.0
2019-11-28,6850.0
2019-11-29,6775.0
2019-12-02,6975.0
2019-12-03,7050.0
2019-12-04,7075.0
2019-12-05,7100.0
2019-12-06,7200.0
2019-12-09,7200.0
2019-12-10,7200.0
2019-12-11,7350.0
2019-12-12,7325.0
2019-12-13,7400.0
2019-12-16,7350.0
2019-12-17,7350.0
2019-12-18,7350.0
2019-12-19,7525.0
2019-12-20,7550.0
2019-12-23,7800.0
2019-12-26,7775.0
2019-12-27,7825.0
2019-12-30,7725.0
2020-01-02,7675.0
2020-01-03,7750.0
2020-01-06,7650.0
2020-01-07,7725.0
2020-01-08,7550.0
2020-01-09,7550.0
2020-01-10,7700.0
2020-01-13,7725.0
2020-01-14,7800.0
2020-01-15,7750.0
2020-01-16,7600.0
2020-01-17,7575.0
2020-01-20,7800.0
2020-01-21,7750.0
2020-01-22,7750.0
2020-01-23,7800.0
2020-01-24,7825.0
2020-01-27,7950.0
2020-01-28,7650.0
2020-01-29,7825.0
2020-01-30,7800.0
2020-01-31,7675.0
2020-02-03,7400.0
2020-02-04,7600.0
2020-02-05,7600.0
2020-02-06,7800.0
2020-02-07,7675.0
2020-02-10,7700.0
2020-02-11,7725.0
2020-02-12,7825.0
2020-02-13,7825.0
2020-02-14,7750.0
2020-02-17,7850.0
2020-02-18,7800.0
