ID Lokasi (Referensi Lokasi),Waktu dalam UTC,Suhu Udara (rata-rata) Minimum C,Suhu Udara (rata-rata) Maksimum %,Kelembapan Udara (rata-rata) Minimum %,Kelembapan Udara (rata-rata) Maksimum %,Kelembapan Udara dalam %,Suhu Udara dalam °C,Cuaca berupa kode cuaca,Arah Angin berupa CARD,Kecepatan Angin dalam km/jam
501272,21/10/2024 18:00,,,,,88,25,4,SW,1
501272,21/10/2024 21:00,,,,,88,25,4,SW,1
501272,22/10/2024 00:00,,,,,77,28,3,SW,1
501272,22/10/2024 06:00,,,,,60,31,1,SW,1
501272,22/10/2024 12:00,25.0,31.0,60.0,92.0,77,28,3,N,4
501272,22/10/2024 18:00,,,,,92,25,0,N,4
501272,23/10/2024 00:00,,,,,79,27,0,S,4
501272,23/10/2024 06:00,,,,,60,32,1,S,4
501272,23/10/2024 12:00,25.0,32.0,60.0,90.0,86,26,1,NE,3
501272,23/10/2024 18:00,,,,,90,25,0,NE,3
501272,24/10/2024 00:00,,,,,76,28,1,SE,8
501272,24/10/2024 06:00,,,,,63,31,1,SE,8
501272,24/10/2024 12:00,26.0,31.0,63.0,84.0,84,27,60,N,3
501272,24/10/2024 18:00,,,,,77,26,1,N,3
501272,25/10/2024 00:00,,,,,71,28,1,SE,4
501273,15/10/2024 00:00,,,,,77,25,4,S,12
501273,15/10/2024 01:00,,,,,73,27,4,S,12
501273,15/10/2024 02:00,,,,,67,29,4,S,13
501273,15/10/2024 03:00,,,,,61,30,4,S,13
501273,15/10/2024 04:00,,,,,56,31,4,S,13
501273,15/10/2024 05:00,,,,,55,32,4,S,15
501273,15/10/2024 06:00,,,,,54,32,4,S,15
501273,15/10/2024 07:00,,,,,53,31,4,S,15
501273,15/10/2024 08:00,,,,,55,29,4,S,11
501273,15/10/2024 09:00,,,,,59,27,4,S,11
501273,15/10/2024 10:00,,,,,71,26,4,S,11
501273,15/10/2024 11:00,,,,,78,24,4,SW,8
501273,15/10/2024 12:00,21.0,32.0,50.0,78.0,77,24,4,SW,8
501273,15/10/2024 13:00,,,,,69,23,4,SW,8
501273,15/10/2024 14:00,,,,,60,23,4,SW,9
501273,15/10/2024 15:00,,,,,54,23,1,SW,9
501273,15/10/2024 16:00,,,,,51,23,4,SW,9
501273,15/10/2024 17:00,,,,,51,22,4,SW,8
501273,15/10/2024 18:00,,,,,51,22,4,SW,8
501273,15/10/2024 19:00,,,,,51,22,4,SW,8
501273,15/10/2024 20:00,,,,,52,22,4,SW,9
501273,15/10/2024 21:00,,,,,50,22,4,SW,9
501273,15/10/2024 22:00,,,,,50,21,4,SW,9
501273,15/10/2024 23:00,,,,,54,22,4,SW,10
501273,16/10/2024 00:00,,,,,53,25,4,SW,10
501273,16/10/2024 01:00,,,,,62,27,4,SW,10
501273,16/10/2024 02:00,,,,,60,28,4,S,12
501273,16/10/2024 03:00,,,,,57,29,1,S,12
501273,16/10/2024 04:00,,,,,56,31,1,S,12
501273,16/10/2024 05:00,,,,,59,33,60,S,17
501273,16/10/2024 06:00,,,,,62,34,60,S,17
501273,16/10/2024 07:00,,,,,62,32,60,S,17
501273,16/10/2024 08:00,,,,,63,30,60,S,16
501273,16/10/2024 09:00,,,,,65,27,3,S,16
501273,16/10/2024 10:00,,,,,72,26,1,S,16
501273,16/10/2024 11:00,,,,,75,25,1,SW,14
501273,16/10/2024 12:00,21.0,34.0,53.0,83.0,78,24,1,SW,14
501273,16/10/2024 13:00,,,,,81,24,1,SW,14
501273,16/10/2024 14:00,,,,,81,24,1,SW,12
501273,16/10/2024 15:00,,,,,80,23,1,SW,12
501273,16/10/2024 16:00,,,,,78,23,1,SW,12
501273,16/10/2024 17:00,,,,,77,23,1,SW,12
501273,16/10/2024 18:00,,,,,77,23,5,SW,12
501273,16/10/2024 19:00,,,,,78,22,5,SW,12
501273,16/10/2024 20:00,,,,,80,22,5,SW,11
501273,16/10/2024 21:00,,,,,82,22,5,SW,11
