Tanggal;Terakhir
12/08/2019;7.400
09/08/2019;7.450
08/08/2019;7.500
07/08/2019;7.350
06/08/2019;7.250
05/08/2019;7.425
02/08/2019;7.675
01/08/2019;7.775
31/07/2019;7.975
30/07/2019;7.950
29/07/2019;7.800
26/07/2019;7.750
25/07/2019;7.800
24/07/2019;7.700
23/07/2019;7.700
22/07/2019;7.775
19/07/2019;7.875
18/07/2019;7.850
17/07/2019;7.975
16/07/2019;8.075
15/07/2019;8.150
12/07/2019;8.075
11/07/2019;8.000
10/07/2019;7.950
09/07/2019;7.900
08/07/2019;7.875
05/07/2019;7.825
04/07/2019;8.025
03/07/2019;8.025
02/07/2019;8.025
01/07/2019;8.000
28/06/2019;8.025
27/06/2019;8.000
26/06/2019;7.950
25/06/2019;7.950
24/06/2019;7.975
21/06/2019;7.975
20/06/2019;7.950
19/06/2019;7.975
18/06/2019;7.850
17/06/2019;7.800
14/06/2019;7.825
13/06/2019;7.825
12/06/2019;7.875
11/06/2019;7.875
10/06/2019;7.850
31/05/2019;7.675
29/05/2019;7.550
28/05/2019;7.375
27/05/2019;7.725
24/05/2019;7.700
23/05/2019;7.575
22/05/2019;7.300
21/05/2019;7.250
20/05/2019;7.225
17/05/2019;7.075
16/05/2019;7.350
15/05/2019;7.425
14/05/2019;7.450
13/05/2019;7.525
10/05/2019;7.475
09/05/2019;7.500
08/05/2019;7.525
07/05/2019;7.650
06/05/2019;7.525
03/05/2019;7.650
02/05/2019;7.700
30/04/2019;7.725
29/04/2019;7.775
26/04/2019;7.725
25/04/2019;7.650
24/04/2019;7.675
23/04/2019;7.675
22/04/2019;7.750
18/04/2019;7.800
16/04/2019;7.625
15/04/2019;7.350
12/04/2019;7.325
11/04/2019;7.400
10/04/2019;7.600
09/04/2019;7.650
08/04/2019;7.575
05/04/2019;7.550
04/04/2019;7.675
02/04/2019;7.450
01/04/2019;7.425
29/03/2019;7.450
28/03/2019;7.400
27/03/2019;7.175
26/03/2019;7.375
25/03/2019;7.225
22/03/2019;7.450
21/03/2019;7.500
20/03/2019;7.450
19/03/2019;7.400
18/03/2019;7.100
15/03/2019;7.100
14/03/2019;6.925
13/03/2019;6.725
12/03/2019;6.700
11/03/2019;6.800
08/03/2019;6.900
06/03/2019;7.075
05/03/2019;6.950
04/03/2019;7.100
01/03/2019;7.175
28/02/2019;7.125
27/02/2019;7.200
26/02/2019;7.275
25/02/2019;7.250
22/02/2019;7.100
21/02/2019;7.325
20/02/2019;7.100
19/02/2019;7.200
18/02/2019;7.275
15/02/2019;7.175
14/02/2019;7.175
13/02/2019;7.250
12/02/2019;7.425
11/02/2019;7.625
08/02/2019;7.575
07/02/2019;7.550
06/02/2019;7.475
04/02/2019;7.350
01/02/2019;7.600
31/01/2019;7.450
30/01/2019;7.250
29/01/2019;7.125
28/01/2019;7.175
25/01/2019;7.375
24/01/2019;7.475
23/01/2019;7.475
22/01/2019;7.750
21/01/2019;7.800
18/01/2019;7.875
17/01/2019;7.875
16/01/2019;7.800
15/01/2019;7.800
14/01/2019;7.700
11/01/2019;7.700
10/01/2019;7.700
09/01/2019;7.575
08/01/2019;7.350
07/01/2019;7.425
04/01/2019;7.450
03/01/2019;7.175
02/01/2019;7.325
